9/15/97 20:00;Kent;WA;Sphere;5 minutes;Was looking thru a telescope at the moon in 1997 month is not exact. However my cousin and I were looking at the moon with a telescope.;3/17/17
9/15/97 19:00;Wedgefield;SC;Triangle;15 min;Traingle or 3 separate crafts in triang. formation over AFB bombing range.;04/02/1999
9/15/97 18:00;Farrell;PA;Disk;3-5 min;Low-flying, object prior to west to east moving severe storm on PA/OH border.;06/02/1998
9/15/97 17:00;Comfort;TX;Cylinder;10 minutes;1 cylinder object- highly polished silver. Joined after brief time by another- from thin air! Then both moved away and vanished!;06/03/2003
9/15/97 15:00;Colorado Springs;CO;Rectangle;;The object was about one hundred and fifty feet long, and fifty feet wide. It was greyish black in color, I think the object was about ;01/03/2001
9/15/97 09:00;Sherman Oaks;CA;Cigar;10-15 seconds;Cigar shaped object in Sherman Oaks;12/16/05
9/13/97 22:34;Wolfville (Canada);NS;Formation;10 minutes;About 5 balls of light flying around a group of lights;12/02/2000
09/10/1997 19:00;Alta Loma;CA;Circle;60 minutes +;Very bright circular object about 1500 to 2000 above ground level very slowly moving to the southwest.;1/28/99
09/10/1997 16:00;Lierskogen (Norway);;Unknown;3 minutes;It looked as a pointed horseshoe. It was full daylight, and it had a lighter shade than the rest of the sky. There was no clouds at all;4/26/99
09/09/1997 21:30;Roseburg;OR;Light;2 hours;Light bouncing around a valley. Light changes intensity, brightness, and color. Disappears, reappears different location.;1/28/99
09/09/1997 16:00;Las Vegas;NV;Formation;5 minutes;My wife and I watched 3 craft fly accross the airport grounds headed towards our hotel and become stationary above us.;07/11/2000
09/07/1997 12:00;Gulf of Mexico;LA;Cigar;5 mins;Mercury colored Cigar shaped USO surfaced near Oil Plarform in Gulf of Mexico;01/10/2009
09/06/1997 04:47;Covington;WA;Triangle;15 min;Triangle shaped with six lights underneath. One side of the triangle was red, one other side was blue. Both of these sides had a hori;1/28/99
09/02/1997 21:45;Portland;OR;Formation;20 seconds;Four pink/orange lights in V formation flying over metro Portland;07/01/2002
09/02/1997 21:45;Algonac;MI;Unknown;15 seconds;Starlike craft makes a pass three time faster than any sattelite, horizon to horizon in less than 15 seconds,Algonac, MI.;7/23/00
09/02/1997 15:00;Zurich (Switzerland);;Disk;unknown;fast moving object merging from in back of swis clock tower at train station from Zurich to Rinsehorn Switzerland. Object moves real fa;1/28/99
09/01/1997 23:00;Albany;ME;Light;2 min;Star makes right angle turns, speeds away.;02/01/2007
09/01/1997 22:30;Carlsbad;CA;Light;3-5 min;Round orb of light seen in back yard.between apr.and oct 1997.;12/12/2009
09/01/1997 20:00;Pleasant View;TN;Fireball;5 seconds;large white fireball or super flare...;10/31/03
09/01/1997 18:00;Woodmont;CT;Disk;15minutes;walking my dog along the beach,I was taking pictures of the oyster boats with my digital camera, when I viewed the pictures, I found a ;2/22/02
